trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.026959700044244528,,0.00421509996522218,0.026959700044244528,0.5108054999727756,0.5108054999727756,0.5273925000801682,0.8252402000362054,0.9799915000330657,right,20.0,1,1,0.45505360001698136,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
1,2,18.0,0.9919687000801787,,0.980106099974364,0.9919687000801787,1.4912943000672385,1.4912943000672385,1.4912943000672385,1.806668300065212,2.372027000063099,right,18.0,1,1,0.8758146000327542,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
2,2,16.0,2.3885394000681117,,2.372108399984427,2.3885394000681117,2.8868136999662966,2.8868136999662966,2.903301600017585,3.202210700022988,3.785475100041367,left,-16.0,1,1,0.8820930999936536,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
3,2,14.0,3.801377300056629,,3.785555300069973,3.801377300056629,4.300217100069858,4.300217100069858,4.316122299991548,4.615115800057538,5.082180800032802,left,-14.0,1,1,0.7736975000007078,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
4,2,12.0,5.096950400038622,,5.082262400072068,5.096950400038622,5.596459900029004,5.596459900029004,5.596459900029004,5.894749099970795,6.345084400032647,left,-12.0,1,1,0.7353113999124616,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
5,2,10.0,6.360400400008075,,6.345200899988413,6.360400400008075,6.859179700026289,6.859179700026289,6.875681500067003,7.158920900081284,7.608239599969238,right,10.0,1,1,0.7436504999641329,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
6,2,8.0,7.623546299990267,,7.608321700012311,7.623546299990267,8.122536899987608,8.122536899987608,8.139695400022902,8.421792200068012,8.638960000011139,right,8.0,1,1,0.5037743999855593,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
7,2,6.0,8.654642699984834,,8.639046799973585,8.654642699984834,9.153286200016737,9.153286200016737,9.169187500025146,9.451704400009476,9.968664800049737,left,-6.0,1,1,0.8116377999540418,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
8,2,4.0,9.984051399980672,,9.968753000022843,9.984051399980672,10.482673599966802,10.482673599966802,10.482673599966802,10.781754600000568,11.347575000021607,right,4.0,1,1,0.8520916000707075,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
9,2,2.0,11.36317989998497,,11.347669500042684,11.36317989998497,11.862319400068372,11.862319400068372,11.862319400068372,12.161285200039856,12.859902100055479,left,-2.0,1,1,0.9888417000183836,245293,001,2024-09-10_16h02.59.264,adaptive_staircase_aarya,2024.1.5,None,2024-09-10 16h03.02.152301 +0530,
