thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,keyPressed,correct,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,None,0,4,0,0,0,0,0.016905250027775764,,0.010204709018580616,0.016905250027775764,0.9998420840129256,1.0057675420248415,up,1,1.4490556250093505,None,0,4,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
1,0,1,None,0,0,1,0,1,0,1.4530938340176363,,1.4492625420098193,1.4530938340176363,2.441312625014689,2.450713625003118,up,1,3.088454125012504,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
2,0,2,None,0,4,2,0,2,0,3.0925112920231186,,3.0887507920269854,3.0925112920231186,4.084255125024356,4.090600875002565,down,0,4.7545875840005465,None,0,4,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
3,0,3,None,0,0,3,0,3,0,4.75979691700195,,4.7549438340065535,4.75979691700195,5.750689542008331,5.75683658401249,down,0,6.326109292014735,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
4,0,4,None,0,0,4,0,4,0,6.333760625013383,,6.326486375008244,6.333760625013383,7.324260500026867,7.324260500026867,up,1,7.692049750010483,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
5,0,5,None,0,-5,5,0,5,0,7.700552834023256,,7.692429709015414,7.700552834023256,8.690705042012269,8.690705042012269,down,0,9.534990375017514,None,0,-5,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
6,0,6,None,0,0,6,0,6,0,9.539497500023572,,9.535348042001715,9.539497500023572,10.533749792026356,10.533749792026356,up,1,11.0348909170134,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
7,0,7,None,0,0,7,0,7,0,11.039593292021891,,11.035318875015946,11.039593292021891,12.024327084014658,12.03390304200002,up,1,12.74266133402125,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
8,0,8,None,0,0,8,0,8,0,12.750448292004876,,12.743078917003004,12.750448292004876,13.740389542013872,13.740389542013872,up,1,14.319512000016402,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
9,0,9,None,0,2,9,0,9,0,14.323413250007434,,14.319748792011524,14.323413250007434,15.317279584007338,15.323067417019047,down,0,16.105163500003982,None,0,2,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
10,0,10,None,0,0,10,0,10,0,16.1097952920245,,16.105496625008527,16.1097952920245,17.10051950000343,17.10587341702194,up,1,17.80214679200435,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
11,0,11,None,0,0,11,0,11,0,17.806591584027046,,17.802534792019287,17.806591584027046,18.801141584001016,18.801141584001016,up,1,19.33776725002099,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
12,0,12,None,0,0,12,0,12,0,19.343099500023527,,19.338131834025262,19.343099500023527,20.334325334028108,20.33967762501561,up,1,20.887711334013147,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
13,0,13,None,0,0,13,0,13,0,20.892368000000715,,20.888086625025608,20.892368000000715,21.88398862502072,21.889939625019906,up,1,22.442993500008015,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
14,0,14,None,0,0,14,0,14,0,22.450523667008383,,22.44339058402693,22.450523667008383,23.44079783401685,23.44079783401685,up,1,23.92643504202715,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
15,0,15,None,0,0,15,0,15,0,23.93374712500372,,23.9268337500107,23.93374712500372,24.923847334022867,24.923847334022867,up,1,28.538316542020766,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
16,0,16,None,0,-1,16,0,16,0,28.54311612501624,,28.53870737500256,28.54311612501624,29.53399375002482,29.540114917006576,up,1,30.272413834027248,None,0,-1,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
17,0,17,None,0,0,17,0,17,0,30.27677091700025,,30.272770125011448,30.27677091700025,31.267059917008737,31.27228175001801,up,1,31.83842304200516,None,0,0,010809,001,2024-09-15_20h19.01.533,signal detection,2024.2.1,None,2024-09-15 20h19.03.140929 +0530,
