21.0351 	INFO 	Loaded monitor calibration from ['2024_08_08 21:31']
21.2809 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x1604f7580>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x1604f75e0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1604f7790>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x160563c10>, multiSample=False, name='window1', numSamples=2, pos=[367.5, 239.0], screen=0, size=array([2940, 1912]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.2809 	EXP 	window1: backgroundImage = ''
21.2809 	EXP 	window1: backgroundFit = 'none'
21.2811 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.2812 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.2835 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.2839 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.3201 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.3201 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.3205 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.3208 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x1604f72b0>
21.3309 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.3309 	EXP 	window1: recordFrameIntervals = False
21.5285 	EXP 	window1: recordFrameIntervals = True
22.3631 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

22.3632 	EXP 	window1: mouseVisible = True
22.3634 	INFO 	keyboard.Keyboard is using event backend.
22.3635 	INFO 	keyboard.Keyboard is using event backend.
22.3635 	EXP 	emotion_valence_word_recall: status = STARTED
22.3641 	EXP 	window1: mouseVisible = True
22.4237 	EXP 	Created welcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.4238 	EXP 	window1: mouseVisible = True
22.4280 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.3, 0.3]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
22.4282 	EXP 	window1: mouseVisible = True
22.4286 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
22.4287 	EXP 	window1: mouseVisible = True
22.4317 	EXP 	Created recall_ins = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='recall_ins', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
22.4319 	EXP 	window1: mouseVisible = True
22.4320 	EXP 	window1: mouseVisible = True
22.4323 	EXP 	window1: mouseVisible = True
22.4326 	EXP 	window1: mouseVisible = True
22.4369 	EXP 	window1: mouseVisible = True
22.4369 	EXP 	window1: mouseVisible = True
22.4372 	EXP 	window1: mouseVisible = True
22.4375 	EXP 	window1: mouseVisible = True
0.0035 	EXP 	recall_box: autoLog = True
0.0098 	INFO 	Keyboard events cleared
0.0097 	EXP 	welcome: autoDraw = True
9.0855 	WARNING 	t of last frame was 20.51ms (=1/48)
14.1789 	DATA 	Keypress: space
14.3280 	EXP 	Imported word_stim.csv as conditions, 9 conditions, 2 params
14.3316 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'Word': 'Window', 'Valence': 'Neutral', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
14.3384 	WARNING 	t of last frame was 174.98ms (=1/5)
14.3384 	EXP 	welcome: autoDraw = False
14.3384 	EXP 	text: height = 0.05
14.3384 	EXP 	text: height = 0.05
14.3384 	EXP 	text: height = 0.05
14.3384 	EXP 	text: text = 'Window'
14.3384 	EXP 	fixation: autoDraw = True
15.3082 	EXP 	text: autoDraw = True
15.3315 	EXP 	fixation: autoDraw = False
17.2929 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'Word': 'Guilt', 'Valence': 'Negative', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
17.3061 	EXP 	text: autoDraw = False
17.3061 	EXP 	fixation: autoDraw = False
17.3061 	EXP 	text: autoDraw = False
