Word,Valence,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,welcome.started,proceed_key.started,instructions.stopped,proceed_key.keys,proceed_key.rt,proceed_key.duration,word_presentation.started,fixation.started,text.started,fixation.stopped,text.stopped,word_presentation.stopped,recall_phase.started,recall_ins.started,recall_ins.stopped,recall_box.started,recall_phase.stopped,recall_box.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.0033894999651238322,0.007934249937534332,0.007934249937534332,2.7596223750151694,"['space', 30.695235584047623]",2.6476092089433223,None,,,,,,,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Guilt,Negative,0,0,0,0,0,0,1,2.793036499992013,,,,,,,,,2.787918124930002,2.793036499992013,3.757536332937889,3.7816224159905687,5.754243457922712,5.742912875022739,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Joy,Positive,1,1,0,0,1,1,0,5.754243457922712,,,,,,,,,5.749347332981415,5.759872499969788,6.754276040941477,6.754276040941477,8.75540424999781,8.742974624969065,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Chair,Neutral,2,2,0,0,2,2,5,8.75540424999781,,,,,,,,,8.750491457991302,8.759724749950692,9.758711208007298,9.748099207994528,11.753110124962404,11.74310558300931,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Anger,Negative,3,3,0,0,3,3,4,11.753110124962404,,,,,,,,,11.748042208026163,11.757559541030787,12.758606957970187,12.748270040960051,14.755670415936038,14.742936082999222,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Fear,Negative,4,4,0,0,4,4,7,14.755670415936038,,,,,,,,,14.75071425002534,14.760014915955253,15.758702958002687,15.758702958002687,17.75326479098294,17.742964791017585,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Window,Neutral,5,5,0,0,5,5,8,17.75326479098294,,,,,,,,,17.74837199994363,17.757614249945618,18.75850424997043,18.74787366599776,20.750005958019756,20.741996082942933,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Estatic,Positive,6,6,0,0,6,6,3,20.750005958019756,,,,,,,,,20.74573554098606,20.758534624939784,21.758649457944557,21.74776950001251,23.75600462500006,23.743278875015676,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Table,Neutral,7,7,0,0,7,7,2,23.75600462500006,,,,,,,,,23.7509248330025,23.761076082941145,24.75846708298195,24.75846708298195,26.755658749956638,26.742852750001475,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
Love,Positive,8,8,0,0,8,8,6,26.755658749956638,,,,,,,,,26.75070999993477,26.760218875017017,27.758604582981206,27.758604582981206,29.749551624991,29.742679124930874,,,,,,,12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,29.7442727079615,29.75749820796773,32.747403290937655,32.76066074997652,82.56837749993429,"Guilt
Joy
Chair
Anger
Table
Window
Fear
Estatic ",12,001,2024-11-25_22h41.03.623,emotion_valence_word_recall,2024.2.1,None,2024-11-25 22h41.15.532442 +0530,
