Word,Valence,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,welcome.started,proceed_key.started,instructions.stopped,proceed_key.keys,proceed_key.rt,proceed_key.duration,word_presentation.started,a.started,text.started,a.stopped,text.stopped,word_presentation.stopped,recall_phase.started,recall_ins.started,recall_ins.stopped,recall_box.started,recall_phase.stopped,recall_box.text,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004144584061577916,0.009606624953448772,0.009606624953448772,1.2175557920709252,"['space', 21.607881792122498]",1.1083355420269072,None,,,,,,,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Joy,Positive,0,0,0,0,0,0,0,1.2360011669807136,,,,,,,,,1.230774834053591,1.2360011669807136,2.2124805841594934,2.224246834171936,4.21343162516132,4.202891458990052,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Table,Neutral,1,1,0,0,1,1,2,4.21343162516132,,,,,,,,,4.207797709153965,4.21343162516132,5.208815291989595,5.208815291989595,7.201792625011876,7.192895084153861,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Window,Neutral,2,2,0,0,2,2,8,7.201792625011876,,,,,,,,,7.196879584109411,7.207096250029281,8.208699667127803,8.201957084005699,10.203749667154625,10.19163729203865,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Chair,Neutral,3,3,0,0,3,3,5,10.203749667154625,,,,,,,,,10.198045084020123,10.218557541957125,11.208743541967124,11.208743541967124,13.218391499947757,13.191755292005837,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Fear,Negative,4,4,0,0,4,4,7,13.218391499947757,,,,,,,,,13.197107250103727,13.2355418340303,14.2095993750263,14.224122417159379,16.215530042070895,16.202825667103752,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Love,Positive,5,5,0,0,5,5,6,16.215530042070895,,,,,,,,,16.210162917152047,16.215530042070895,17.20871250005439,17.20871250005439,19.204269250156358,19.1922429590486,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Estatic,Positive,6,6,0,0,6,6,3,19.204269250156358,,,,,,,,,19.199293666984886,19.21862950013019,20.20949820894748,20.20949820894748,22.21553720906377,22.202564042061567,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Guilt,Negative,7,7,0,0,7,7,1,22.21553720906377,,,,,,,,,22.209534917026758,22.21553720906377,23.208438833942637,23.208438833942637,25.200914249988273,25.192512416979298,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
Anger,Negative,8,8,0,0,8,8,4,25.200914249988273,,,,,,,,,25.19600550015457,25.206025667022914,26.20900258398615,26.20201116707176,28.21169758401811,28.20253987517208,,,,,,,17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,28.20331008406356,28.21169758401811,31.21893862495199,31.21893862495199,50.61751766712405,"Joy
Table
Love
Ecstatic
Anger
Fear
Guilt ",17,001,2024-12-02_08h04.17.243,emotion_valence_word_recall,2024.2.1,None,2024-12-02 08h04.22.658365 +0530,
